source_file,row_num,op,order_id,customer_id,status,amount,changed_at,tx_seq
changes_01,1,I,1001,501,pending,100.00,2026-06-01T00:01:00Z,1
changes_01,2,I,1002,502,pending,250.00,2026-06-01T00:02:00Z,2
changes_01,3,I,1003,503,pending,75.00,2026-06-01T00:03:00Z,3
changes_01,4,U,1001,501,paid,100.00,2026-06-01T00:04:00Z,4
changes_01,5,I,1004,504,pending,300.00,2026-06-01T00:05:00Z,5
changes_02,1,U,1002,502,paid,250.00,2026-06-01T00:06:00Z,6
changes_02,2,U,1002,502,shipped,250.00,2026-06-01T00:07:00Z,7
changes_02,3,D,1003,503,cancelled,75.00,2026-06-01T00:08:00Z,8
changes_02,4,I,1005,505,pending,150.00,2026-06-01T00:09:00Z,9
changes_02,5,U,1004,504,paid,300.00,2026-06-01T00:10:00Z,10
changes_02,6,U,1001,501,shipped,100.00,2026-06-01T00:11:00Z,11
changes_03,1,I,1006,501,pending,400.00,2026-06-01T00:12:00Z,12
changes_03,2,U,1005,505,paid,150.00,2026-06-01T00:13:00Z,13
changes_03,3,D,1006,501,pending,400.00,2026-06-01T00:14:00Z,14
changes_03,4,U,1002,502,shipped,250.00,2026-06-01T00:07:00Z,7
changes_03,5,U,1002,502,cancelled,250.00,2026-06-01T00:15:00Z,15
changes_03,6,I,1007,502,pending,220.00,2026-06-01T00:16:00Z,16
changes_04,1,U,1003,503,paid,999.00,2026-06-01T00:17:00Z,17
changes_04,2,I,1008,503,pending,60.00,2026-06-01T00:18:00Z,18
changes_04,3,U,1007,502,paid,220.00,2026-06-01T00:19:00Z,19
changes_04,4,D,1005,505,paid,150.00,2026-06-01T00:20:00Z,20
changes_04,5,U,1004,504,shipped,300.00,2026-06-01T00:21:00Z,21
changes_05,1,I,1009,504,pending,500.00,2026-06-01T00:22:00Z,22
changes_05,2,U,1009,504,paid,500.00,2026-06-01T00:23:00Z,23
changes_05,3,U,1009,504,shipped,500.00,2026-06-01T00:24:00Z,24
changes_05,4,D,1002,502,cancelled,250.00,2026-06-01T00:25:00Z,25
changes_05,5,I,1010,505,pending,90.00,2026-06-01T00:26:00Z,26
changes_06,1,U,1010,505,paid,90.00,2026-06-01T00:27:00Z,27
changes_06,2,U,1002,502,cancelled,250.00,2026-06-01T00:28:00Z,28
changes_06,3,I,1006,501,pending,400.00,2026-06-01T00:12:00Z,12
changes_06,4,U,1008,503,paid,60.00,2026-06-01T00:29:00Z,29
changes_06,5,D,1009,504,shipped,500.00,2026-06-01T00:30:00Z,30
